DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-07 22:14:06.135,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.255,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.374,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.495,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.613,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.734,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.855,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:06.974,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:07.093,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:07.211,-0.03,10.00,2.37,2.50,2.0
2024-04-07 22:14:07.333,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:07.451,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:07.573,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:07.690,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:07.810,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:07.931,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.052,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.171,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.288,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.409,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.529,-0.03,10.00,2.38,2.50,2.0
2024-04-07 22:14:08.650,-0.03,10.00,2.39,2.50,2.0
2024-04-07 22:14:08.769,-0.03,10.00,2.39,2.50,2.0
2024-04-07 22:14:08.890,-0.03,10.00,2.39,2.50,2.0
2024-04-07 22:14:09.007,-0.03,10.00,2.39,2.50,2.0
2024-04-07 22:14:09.127,-0.03,10.00,2.39,2.50,2.0
