DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 14:55:45.023,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.120,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.225,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.327,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.376,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.481,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.580,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.684,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.737,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.838,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:45.936,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.036,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.087,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.189,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.292,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.392,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.444,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.546,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.649,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.752,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.803,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:46.904,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.007,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.104,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.156,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.258,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.359,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.463,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.513,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.615,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.716,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.818,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.870,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:47.971,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.073,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.174,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.226,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.329,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.434,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.535,1.35,80.00,0.00,2.00,0.00
2024-04-08 14:55:48.583,1.35,80.00,0.00,2.00,0.00
