DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 16:52:21.684,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:21.783,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:21.885,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:21.986,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.041,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.143,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.242,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.343,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.395,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.497,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.601,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.702,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.753,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.854,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:22.956,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.057,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.112,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.211,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.312,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.414,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.466,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.567,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.669,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.771,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.821,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:23.923,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.029,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.128,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.179,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.280,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.382,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.489,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.533,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.637,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.741,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.844,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.891,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:24.997,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.093,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.200,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.296,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.349,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.451,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.552,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.654,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.709,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.808,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:25.910,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.011,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.062,0.09,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.164,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.269,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.366,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.417,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.518,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.620,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.722,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.779,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.877,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:26.978,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.080,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.176,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.274,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.372,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.472,0.10,80.00,0.00,2.00,0.01
2024-04-08 16:52:27.569,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:27.667,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:27.766,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:27.864,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:27.963,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.064,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.161,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.259,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.358,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.456,0.10,80.00,0.01,2.00,0.01
2024-04-08 16:52:28.555,0.10,80.00,0.02,2.00,0.01
2024-04-08 16:52:28.656,0.10,80.00,0.02,2.00,0.01
2024-04-08 16:52:28.753,0.10,80.00,0.02,2.00,0.01
