DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 17:04:28.706,-0.55,80.00,0.00,2.00,0.0
2024-04-08 17:04:28.807,-0.55,80.00,0.00,2.00,0.0
2024-04-08 17:04:28.860,-0.55,80.00,0.00,2.00,0.0
2024-04-08 17:04:28.960,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.064,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.166,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.217,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.319,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.421,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.522,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.573,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.674,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.776,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.882,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:29.932,-0.56,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.030,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.132,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.233,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.285,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.389,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.490,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.590,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.642,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.743,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.848,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.949,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:30.998,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.100,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.204,-0.57,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.307,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.355,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.457,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.558,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.662,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.713,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.814,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:31.917,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.016,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.067,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.176,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.270,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.372,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.423,-0.58,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.529,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.627,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.728,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.780,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.886,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:32.987,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.086,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.137,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.240,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.342,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.444,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.496,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.597,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.699,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.801,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.852,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:33.954,-0.59,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.053,-0.60,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.155,-0.60,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.210,-0.60,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.311,-0.60,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.413,-0.60,80.00,0.00,2.00,0.0
2024-04-08 17:04:34.514,-0.60,80.00,0.00,2.00,0.0
