DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 17:08:25.367,-0.66,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.468,-0.67,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.569,-0.68,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.621,-0.68,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.723,-0.69,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.825,-0.70,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.927,-0.70,10.00,0.00,2.50,0.0
2024-04-08 17:08:25.982,-0.71,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.085,-0.71,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.184,-0.72,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.283,-0.73,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.334,-0.73,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.436,-0.74,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.539,-0.75,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.639,-0.75,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.690,-0.76,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.793,-0.77,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.899,-0.77,10.00,0.00,2.50,0.0
2024-04-08 17:08:26.997,-0.78,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.048,-0.78,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.152,-0.79,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.257,-0.80,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.356,-0.80,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.406,-0.81,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.507,-0.82,10.00,0.00,2.50,0.0
2024-04-08 17:08:27.609,-0.82,80.00,0.00,2.50,0.0
2024-04-08 17:08:27.709,-0.83,80.00,0.00,2.50,0.0
2024-04-08 17:08:27.761,-0.83,80.00,0.00,2.50,0.0
2024-04-08 17:08:27.866,-0.84,80.00,0.00,2.50,0.0
2024-04-08 17:08:27.966,-0.85,80.00,0.00,2.50,0.0
2024-04-08 17:08:28.070,-0.85,80.00,0.00,2.50,0.0
2024-04-08 17:08:28.118,-0.86,80.00,0.00,2.50,0.0
2024-04-08 17:08:28.220,-0.87,80.00,0.00,2.00,0.0
2024-04-08 17:08:28.322,-0.87,80.00,0.00,2.00,0.0
2024-04-08 17:08:28.424,-0.88,80.00,0.00,2.00,0.0
2024-04-08 17:08:28.476,-0.89,80.00,0.00,2.00,0.0
2024-04-08 17:08:28.582,-0.89,80.00,0.00,2.00,0.0
2024-04-08 17:08:28.679,-0.90,80.00,0.00,2.00,0.0
