DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 17:16:56.930,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.029,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.084,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.180,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.282,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.389,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.436,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.541,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.639,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.741,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.793,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:57.895,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.000,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.101,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.149,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.250,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.351,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.454,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.506,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.611,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.709,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.810,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.861,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:58.962,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.064,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.166,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.223,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.324,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.422,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.524,0.01,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.578,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.679,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.778,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.882,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:16:59.974,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:17:00.072,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:17:00.176,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:17:00.274,0.02,80.00,0.00,2.00,0.01
2024-04-08 17:17:00.374,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.467,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.569,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.668,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.771,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.865,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:00.965,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:01.064,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:01.161,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:01.260,0.02,80.00,0.01,2.00,0.01
2024-04-08 17:17:01.358,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.454,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.555,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.655,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.752,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.853,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:01.951,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:02.048,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:02.147,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:02.241,0.02,80.00,0.02,2.00,0.01
2024-04-08 17:17:02.343,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.441,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.537,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.634,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.734,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.834,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:02.936,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:03.029,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:03.128,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:03.227,0.02,80.00,0.03,2.00,0.01
2024-04-08 17:17:03.325,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.426,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.522,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.621,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.719,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.822,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:03.920,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:04.019,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:04.115,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:04.212,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:04.311,0.02,80.00,0.04,2.00,0.01
2024-04-08 17:17:04.414,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:04.513,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:04.607,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:04.707,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:04.806,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:04.903,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:05.000,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:05.099,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:05.197,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:05.297,0.02,80.00,0.05,2.00,0.01
2024-04-08 17:17:05.395,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.493,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.591,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.690,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.793,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.888,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:05.992,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:06.089,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:06.187,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:06.286,0.02,80.00,0.06,2.00,0.01
2024-04-08 17:17:06.387,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.480,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.581,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.683,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.782,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.878,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:06.976,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:07.074,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:07.182,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:07.268,0.02,80.00,0.07,2.00,0.01
2024-04-08 17:17:07.370,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.469,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.567,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.663,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.760,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.859,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:07.956,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:08.055,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:08.154,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:08.252,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:08.355,0.02,80.00,0.08,2.00,0.01
2024-04-08 17:17:08.454,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:08.548,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:08.653,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:08.748,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:08.846,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:08.945,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:09.045,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:09.142,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:09.239,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:09.337,0.02,80.00,0.09,2.00,0.01
2024-04-08 17:17:09.440,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:09.537,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:09.635,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:09.736,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:09.834,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:09.930,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:10.029,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:10.125,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:10.225,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:10.322,0.02,80.00,0.10,2.00,0.01
2024-04-08 17:17:10.421,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:10.520,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:10.622,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:10.722,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:10.816,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:10.918,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:11.015,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:11.114,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:11.215,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:11.313,0.02,80.00,0.11,2.00,0.01
2024-04-08 17:17:11.413,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:11.510,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:11.608,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:11.707,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:11.806,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:11.903,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:12.003,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:12.102,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:12.196,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:12.298,0.02,80.00,0.12,2.00,0.01
2024-04-08 17:17:12.397,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.496,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.590,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.693,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.791,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.890,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:12.984,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:13.082,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:13.180,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:13.284,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:13.382,0.02,80.00,0.13,2.00,0.01
2024-04-08 17:17:13.480,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:13.575,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:13.680,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:13.776,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:13.877,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:13.974,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:14.073,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:14.170,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:14.270,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:14.368,0.02,80.00,0.14,2.00,0.01
2024-04-08 17:17:14.466,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:14.565,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:14.665,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:14.763,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:14.860,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:14.959,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:15.058,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:15.156,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:15.254,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:15.355,0.03,80.00,0.15,2.00,0.01
2024-04-08 17:17:15.452,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:15.550,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:15.649,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:15.747,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:15.848,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:15.944,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:16.043,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:16.143,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:16.240,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:16.338,0.03,80.00,0.16,2.00,0.01
2024-04-08 17:17:16.438,0.03,80.00,0.17,2.00,0.01
