DATETIME, FORCE, FORCE LIM, DISP, DISP LIM, RATE
2024-04-08 17:19:12.878,-0.14,80.00,0.00,2.00,0.0
2024-04-08 17:19:12.985,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.082,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.184,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.235,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.337,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.439,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.540,-0.15,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.594,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.694,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.795,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.898,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:13.950,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.049,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.154,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.254,-0.16,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.353,-0.17,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.457,-0.17,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.550,-0.17,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.651,-0.17,80.00,0.00,2.00,0.0
2024-04-08 17:19:14.747,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:14.846,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:14.941,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.043,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.141,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.241,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.335,-0.17,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.437,-0.18,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.533,-0.18,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.629,-0.18,80.00,0.01,2.00,0.0
2024-04-08 17:19:15.728,-0.18,80.00,0.02,2.00,0.0
2024-04-08 17:19:15.829,-0.18,80.00,0.02,2.00,0.0
2024-04-08 17:19:15.925,-0.18,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.023,-0.18,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.122,-0.17,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.220,-0.17,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.319,-0.17,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.419,-0.17,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.517,-0.16,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.615,-0.16,80.00,0.02,2.00,0.0
2024-04-08 17:19:16.715,-0.16,80.00,0.03,2.00,0.0
2024-04-08 17:19:16.811,-0.15,80.00,0.03,2.00,0.0
2024-04-08 17:19:16.911,-0.14,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.010,-0.14,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.108,-0.13,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.206,-0.12,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.306,-0.12,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.403,-0.11,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.507,-0.10,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.606,-0.09,80.00,0.03,2.00,0.0
2024-04-08 17:19:17.701,-0.08,80.00,0.04,2.00,0.0
2024-04-08 17:19:17.798,-0.07,80.00,0.04,2.00,0.0
2024-04-08 17:19:17.898,-0.06,80.00,0.04,2.00,0.0
2024-04-08 17:19:17.998,-0.05,80.00,0.04,2.00,0.0
2024-04-08 17:19:18.099,-0.04,80.00,0.04,2.00,0.0
2024-04-08 17:19:18.197,-0.03,80.00,0.04,2.00,0.0
2024-04-08 17:19:18.296,-0.02,80.00,0.04,2.00,0.0
2024-04-08 17:19:18.391,-0.01,80.00,0.04,2.00,0.0
2024-04-08 17:19:18.490,0.00,80.00,0.04,2.00,0.01
2024-04-08 17:19:18.591,0.01,80.00,0.04,2.00,0.01
2024-04-08 17:19:18.690,0.03,80.00,0.04,2.00,0.01
2024-04-08 17:19:18.789,0.04,80.00,0.05,2.00,0.01
2024-04-08 17:19:18.888,0.05,80.00,0.05,2.00,0.01
2024-04-08 17:19:18.987,0.07,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.083,0.08,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.183,0.10,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.280,0.11,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.380,0.13,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.480,0.14,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.577,0.16,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.676,0.18,80.00,0.05,2.00,0.01
2024-04-08 17:19:19.771,0.20,80.00,0.06,2.00,0.01
2024-04-08 17:19:19.869,0.21,80.00,0.06,2.00,0.01
2024-04-08 17:19:19.967,0.23,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.066,0.26,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.165,0.28,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.267,0.30,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.420,0.32,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.514,0.34,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.613,0.36,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.711,0.37,80.00,0.06,2.00,0.01
2024-04-08 17:19:20.809,0.39,80.00,0.07,2.00,0.01
2024-04-08 17:19:20.908,0.41,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.008,0.42,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.105,0.44,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.204,0.45,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.299,0.46,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.398,0.47,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.501,0.48,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.597,0.49,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.697,0.49,80.00,0.07,2.00,0.01
2024-04-08 17:19:21.796,0.50,80.00,0.08,2.00,0.01
2024-04-08 17:19:21.894,0.51,80.00,0.08,2.00,0.01
2024-04-08 17:19:21.990,0.51,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.090,0.52,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.187,0.53,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.289,0.54,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.387,0.55,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.485,0.56,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.585,0.58,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.683,0.59,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.781,0.60,80.00,0.08,2.00,0.01
2024-04-08 17:19:22.875,0.61,80.00,0.09,2.00,0.01
2024-04-08 17:19:22.974,0.63,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.072,0.64,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.170,0.65,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.269,0.67,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.369,0.68,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.466,0.69,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.565,0.70,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.663,0.71,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.761,0.72,80.00,0.09,2.00,0.01
2024-04-08 17:19:23.867,0.73,80.00,0.10,2.00,0.01
2024-04-08 17:19:23.960,0.74,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.058,0.74,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.158,0.75,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.256,0.76,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.358,0.76,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.454,0.76,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.555,0.77,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.653,0.77,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.753,0.77,80.00,0.10,2.00,0.01
2024-04-08 17:19:24.850,0.78,80.00,0.11,2.00,0.01
2024-04-08 17:19:24.949,0.78,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.048,0.78,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.146,0.79,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.244,0.79,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.344,0.79,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.442,0.79,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.540,0.79,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.646,0.80,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.738,0.80,80.00,0.11,2.00,0.01
2024-04-08 17:19:25.835,0.80,80.00,0.12,2.00,0.01
2024-04-08 17:19:25.936,0.81,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.033,0.81,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.132,0.81,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.234,0.81,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.329,0.82,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.425,0.82,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.521,0.82,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.620,0.83,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.720,0.83,80.00,0.12,2.00,0.01
2024-04-08 17:19:26.818,0.83,80.00,0.13,2.00,0.01
2024-04-08 17:19:26.916,0.83,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.015,0.83,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.113,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.211,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.311,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.409,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.507,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.606,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.704,0.84,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.807,0.85,80.00,0.13,2.00,0.01
2024-04-08 17:19:27.903,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.001,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.101,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.201,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.297,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.400,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.493,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.593,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.690,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.789,0.85,80.00,0.14,2.00,0.01
2024-04-08 17:19:28.887,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:28.987,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.084,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.186,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.286,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.390,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.483,0.86,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.581,0.85,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.679,0.85,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.779,0.85,80.00,0.15,2.00,0.01
2024-04-08 17:19:29.876,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:29.975,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.073,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.173,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.273,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.369,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.468,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.566,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.665,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.760,0.85,80.00,0.16,2.00,0.01
2024-04-08 17:19:30.862,0.85,80.00,0.17,2.00,0.01
2024-04-08 17:19:30.962,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.056,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.158,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.257,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.355,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.449,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.550,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.651,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.750,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.849,0.84,80.00,0.17,2.00,0.01
2024-04-08 17:19:31.947,0.83,80.00,0.18,2.00,0.01
